objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,21.JPG,,,Cloud Dragon,Me,2010-12-05,Photograph,Sky,Philippines,,,,,Image;StillImage,image/jpeg,eng,Public domain,
coll002,28.JPG,,,Sunday Church,Me,2010-12-05,Photograph,Building,Philippines,,,,,Image;StillImage,image/jpeg,eng,Public domain,
coll003,40.JPG,,,Long Legs,Me,2010-12-05,Photograph,Shadow,Philippines,,,,,Image;StillImage,image/jpeg,eng,Public domain,
coll004,52.JPG,,,Green Car,Me,2010-12-05,Photograph,Autoobile,Philippines,,,,,Image;StillImage,image/jpeg,eng,Public domain,
coll005,53.JPG,,,Movie Ad Bus,Me,2010-12-05,Photograph,Autoobile,Philippines,,,,,Image;StillImage,image/jpeg,eng,Public domain,
coll006,54.JPG,,,Bus with WiFi,Me,2010-12-05,Photograph,Autoobile,Philippines,,,,,Image;StillImage,image/jpeg,eng,Public domain,
coll007,62.JPG,,,SM MOA iMax Construction,Me,2010-12-05,Photograph,Building,Philippines,,,,,Image;StillImage,image/jpeg,eng,Public domain,
coll008,69.JPG,,,Guard Rail Garden,Me,2010-12-05,Photograph,Garden,Philippines,,,,,Image;StillImage,image/jpeg,eng,Public domain,
coll009,74.JPG,,,SM MOA Guard,Me,2010-12-05,Photograph,Landmark,Philippines,,,,,Image;StillImage,image/jpeg,eng,Public domain,
coll010,91.JPG,,,Sunet,Me,2010-12-05,Photograph,Sky,Philippines,,,,,Image;StillImage,image/jpeg,eng,Public domain,
